date,contributor,source,status,system,cpu_gpu,ram_bios_uma,os_kernel,mesa_or_rocm,backend,tool_build,model,quant,workload,pp_tps,tg_tps,stddev_pp,stddev_tg,notes
2026-05-07,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/10,community-reported,Corsair AI Workstation 300,AMD Ryzen AI MAX+ 395 / Radeon 8060S gfx1151,128GB LPDDR5X-8000 / BIOS UMA 1GiB,Fedora 43 Server / 7.0.0-0.rc6.49.fc45.x86_64,Mesa RADV 25.3.6; ROCm 7.2.1 installed but not used,Vulkan/RADV,llama.cpp b9049 2496f9c14 in kyuz0 vulkan-radv container,Qwen3-Coder 30B-A3B Instruct,UD-Q4_K_XL,pp512/tg128 llama-bench r20,1393.003,95.312,10.831,1.878,"Session 1. Different chassis, distro, RC kernel, older Mesa, no tuned daemon, containerized run; within 3.5% of guide reference. AMDVLK not installed; GPU clock pinned at 2900MHz."
2026-05-07,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/10#issuecomment-4398735200,community-reported,Corsair AI Workstation 300,AMD Ryzen AI MAX+ 395 / Radeon 8060S gfx1151,128GB LPDDR5X-8000 / BIOS UMA 1GiB,Fedora 43 Server / 7.0.0-0.rc6.49.fc45.x86_64,Mesa RADV 25.3.6; ROCm 7.2.1 installed but not used,Vulkan/RADV,llama.cpp b9049 2496f9c14 in kyuz0 vulkan-radv container,Qwen3-Coder 30B-A3B Instruct,UD-Q4_K_XL,pp512/tg128 llama-bench r20,1393.465,95.461,10.910,1.141,"Session 2 about 12 hours later with same command, same model SHA, same container digest. Session-to-session delta: +0.03% pp512 and +0.16% tg128."
2026-05-07,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/10#issuecomment-4401323126,community-reported,Corsair AI Workstation 300 ai-1,AMD Ryzen AI MAX+ 395 / Radeon 8060S gfx1151,128GB LPDDR5X-8000 / BIOS UMA 1GiB,Fedora 43 Server / 7.0.0-0.rc6.49.fc45.x86_64,Mesa RADV 25.3.6; ROCm 7.2.1 installed but not used,Vulkan/RADV,llama.cpp b9049 2496f9c14 in kyuz0 vulkan-radv container,Qwen3-Coder 30B-A3B Instruct,UD-Q4_K_XL,parallel cross-box run A pp512/tg128 r20,1393.925,93.545,11.410,1.995,"N=3 Corsair fleet cross-box run. ai-1 reproducibly lower on tg128 while pp512 matches the fleet."
2026-05-07,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/10#issuecomment-4401323126,community-reported,Corsair AI Workstation 300 ai-2,AMD Ryzen AI MAX+ 395 / Radeon 8060S gfx1151,128GB LPDDR5X-8000 / BIOS UMA 1GiB,Fedora 43 Server / 7.0.0-0.rc6.49.fc45.x86_64,Mesa RADV 25.3.6; ROCm 7.2.1 installed but not used,Vulkan/RADV,llama.cpp b9049 2496f9c14 in kyuz0 vulkan-radv container,Qwen3-Coder 30B-A3B Instruct,UD-Q4_K_XL,parallel cross-box run A pp512/tg128 r20,1393.071,94.771,10.476,0.520,"N=3 Corsair fleet cross-box run."
2026-05-07,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/10#issuecomment-4401323126,community-reported,Corsair AI Workstation 300 ai-3,AMD Ryzen AI MAX+ 395 / Radeon 8060S gfx1151,128GB LPDDR5X-8000 / BIOS UMA 1GiB,Fedora 43 Server / 7.0.0-0.rc6.49.fc45.x86_64,Mesa RADV 25.3.6; ROCm 7.2.1 installed but not used,Vulkan/RADV,llama.cpp b9049 2496f9c14 in kyuz0 vulkan-radv container,Qwen3-Coder 30B-A3B Instruct,UD-Q4_K_XL,parallel cross-box run A pp512/tg128 r20,1394.515,95.403,10.797,1.042,"N=3 Corsair fleet cross-box run."
2026-05-07,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/10#issuecomment-4401323126,community-reported,Corsair AI Workstation 300 ai-1,AMD Ryzen AI MAX+ 395 / Radeon 8060S gfx1151,128GB LPDDR5X-8000 / BIOS UMA 1GiB,Fedora 43 Server / 7.0.0-0.rc6.49.fc45.x86_64,Mesa RADV 25.3.6; ROCm 7.2.1 installed but not used,Vulkan/RADV,llama.cpp b9049 2496f9c14 in kyuz0 vulkan-radv container,Qwen3-Coder 30B-A3B Instruct,UD-Q4_K_XL,ai-1 rerun after background load eliminated pp512/tg128 r20,1394.413,93.545,10.858,1.820,"ai-1 tg128 reproduced exactly after background load was eliminated; points away from host-load noise."
2026-05-07,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/10#issuecomment-4401323126,community-reported,Corsair AI Workstation 300 ai-1,AMD Ryzen AI MAX+ 395 / Radeon 8060S gfx1151,128GB LPDDR5X-8000 / BIOS UMA 1GiB,Fedora 43 Server / 7.0.0-0.rc6.49.fc45.x86_64,Mesa RADV 25.3.6; ROCm 7.2.1 installed but not used,Vulkan/RADV,llama.cpp b9049 2496f9c14 in kyuz0 vulkan-radv container,Qwen3-Coder 30B-A3B Instruct,UD-Q4_K_XL,thermal-instrumented pp512/tg128 r20,1393.878,93.562,10.818,1.758,"Thermal-instrumented run; Tctl 42.6C idle to 77.2C peak; SCLK 2900MHz and MCLK 1000MHz held."
2026-05-07,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/10#issuecomment-4401323126,community-reported,Corsair AI Workstation 300 ai-2,AMD Ryzen AI MAX+ 395 / Radeon 8060S gfx1151,128GB LPDDR5X-8000 / BIOS UMA 1GiB,Fedora 43 Server / 7.0.0-0.rc6.49.fc45.x86_64,Mesa RADV 25.3.6; ROCm 7.2.1 installed but not used,Vulkan/RADV,llama.cpp b9049 2496f9c14 in kyuz0 vulkan-radv container,Qwen3-Coder 30B-A3B Instruct,UD-Q4_K_XL,thermal-instrumented pp512/tg128 r20,1393.087,94.323,11.056,2.346,"Thermal-instrumented run; Tctl 56.2C idle to 94.0C peak; SCLK 2900MHz and MCLK 1000MHz held."
2026-05-07,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/10#issuecomment-4401323126,community-reported,Corsair AI Workstation 300 ai-3,AMD Ryzen AI MAX+ 395 / Radeon 8060S gfx1151,128GB LPDDR5X-8000 / BIOS UMA 1GiB,Fedora 43 Server / 7.0.0-0.rc6.49.fc45.x86_64,Mesa RADV 25.3.6; ROCm 7.2.1 installed but not used,Vulkan/RADV,llama.cpp b9049 2496f9c14 in kyuz0 vulkan-radv container,Qwen3-Coder 30B-A3B Instruct,UD-Q4_K_XL,thermal-instrumented pp512/tg128 r20,1395.189,95.500,10.931,0.404,"Thermal-instrumented run; Tctl 47.6C idle to 78.9C peak; SCLK 2900MHz and MCLK 1000MHz held."
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/10#issuecomment-4413965527,community-reported,Corsair AI Workstation 300 ai-2,AMD Ryzen AI MAX+ 395 / Radeon 8060S gfx1151,128GB LPDDR5X-8000 / BIOS UMA 1GiB,Fedora 43 Server / 7.0.0-0.rc6.49.fc45.x86_64,Mesa RADV 25.3.6; kyuz0 Vulkan/RADV container,Vulkan/RADV,llama.cpp b9093 1e5ad35d5 in kyuz0 vulkan-radv container,Qwen3.6 35B-A3B,Q4_0,pp512/tg128 llama-bench r20 N=2 mean,1267.18,75.75,8.812,0.046,"bartowski/Qwen_Qwen3.6-35B-A3B-GGUF. Speed-first candidate. Run-to-run spread: 0.17% pp512 and 0.08% tg128. Throughput only; quality not evaluated. Slower than the guide's local 0xSero Strix Q4_0 row, so keep separate as community evidence."
2026-05-09,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/10#issuecomment-4413965527,community-reported,Corsair AI Workstation 300 ai-2,AMD Ryzen AI MAX+ 395 / Radeon 8060S gfx1151,128GB LPDDR5X-8000 / BIOS UMA 1GiB,Fedora 43 Server / 7.0.0-0.rc6.49.fc45.x86_64,Mesa RADV 25.3.6; kyuz0 Vulkan/RADV container,Vulkan/RADV,llama.cpp b9093 1e5ad35d5 in kyuz0 vulkan-radv container,Qwen3.6 35B-A3B,Q4_K_M,pp512/tg128 llama-bench r20 N=2 mean,1116.23,70.10,9.575,0.299,"bartowski/Qwen_Qwen3.6-35B-A3B-GGUF. Balanced candidate. Run-to-run spread: 0.16% pp512 and 0.09% tg128. Q4_0 was +13.5% pp512 and +8.1% tg128 faster in this community run; quality not evaluated."
